mean,std,max_abs,zcr,rms,fundamental_freq,spectral_centroid,spectral_rolloff,spectral_flatness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,band_energy_0,band_energy_1,band_energy_2,band_energy_3,band_energy_4,band_energy_5,band_energy_6,band_energy_7,band_energy_8,band_energy_9,band_energy_10,band_energy_11,band_energy_12,label
-7.960445145727135e-06,0.04827188700437546,0.36909085512161255,0.14102957589285714,0.04827188700437546,500.0,766.1103923749328,1187.5,0.06271982192993164,-18.90933609008789,-16.113801956176758,-15.4487943649292,-16.17340850830078,-16.908191680908203,-16.66999053955078,-16.103450775146484,-15.324134826660156,-15.10987663269043,-15.497053146362305,-16.51783561706543,-16.904788970947266,-17.48727035522461,1.9169829101883806e-06,1.353792981717561e-06,4.612844008988759e-07,8.624772362963995e-08,6.179899258995647e-08,7.814428215624503e-09,9.645578780137498e-10,2.0258641431070146e-09,3.4993097308699816e-09,6.211772429765006e-09,4.090582539362231e-09,9.78029124354407e-09,1.5454675761361614e-08,0
-3.504268534015864e-05,0.03028910420835018,0.2561418414115906,0.11094017551369863,0.030289126560091972,98.15950920245399,501.6549855071132,812.5,0.041019994765520096,-19.272979736328125,-17.256816864013672,-16.41345977783203,-15.374784469604492,-16.058130264282227,-15.965341567993164,-16.507537841796875,-17.03314208984375,-17.16597557067871,-17.255931854248047,-17.477022171020508,-17.660001754760742,-17.858057022094727,1.0511217851671972e-06,4.86971941882075e-07,2.1072793288112734e-08,2.825853107069065e-09,1.4434313744260407e-09,7.881368890849672e-10,1.8231397502788127e-09,5.043002904159266e-09,3.59006557815178e-09,1.7307700828084194e-09,1.6209440456549373e-09,1.183744546828791e-09,5.928472157634701e-10,0
-5.152238827577094e-06,0.051719360053539276,0.34672078490257263,0.10268930288461539,0.051719360053539276,109.58904109589041,484.31500097872066,687.5,0.010623638518154621,-18.461111068725586,-15.914911270141602,-15.277177810668945,-14.372749328613281,-15.077408790588379,-15.485376358032227,-16.21406364440918,-15.747029304504395,-15.828534126281738,-15.81434154510498,-16.135244369506836,-16.51256561279297,-16.937984466552734,2.613748392832349e-06,1.8276513173987041e-06,1.0046197473911889e-07,1.1124335230761062e-08,1.7939598695448922e-09,1.5340999581781034e-09,1.5225771754501238e-09,1.3173007129552161e-09,8.106669224794416e-10,4.3133449589838335e-10,2.5705162998157505e-10,1.6177648110016207e-10,3.8064267016135744e-11,0
7.466852366633248e-06,0.03343791514635086,0.3674733638763428,0.16710352198697068,0.03343791514635086,141.5929203539823,1113.8461990289672,2500.0,0.3130258619785309,-18.822851181030273,-16.651824951171875,-14.969346046447754,-15.554309844970703,-15.008853912353516,-15.270975112915039,-15.754338264465332,-16.184690475463867,-16.80124282836914,-17.168176651000977,-17.733882904052734,-18.114530563354492,-18.391542434692383,1.2222641316839145e-06,2.110629253593288e-07,1.568719198985491e-07,4.5612324583999e-08,8.110794880167305e-08,5.0452584332560946e-08,2.2454683445971568e-08,1.8322412032034663e-08,2.353767136753504e-08,2.723495917678065e-08,2.502083518152176e-08,2.1578960840429318e-08,5.933078472963871e-09,0
-1.4033897969056852e-05,0.036961473524570465,0.46259957551956177,0.12047101449275362,0.036961477249860764,116.78832116788321,740.243376405791,1187.5,0.10132450610399246,-18.591161727905273,-16.04976463317871,-15.044095993041992,-14.857337951660156,-15.523601531982422,-15.838096618652344,-15.957454681396484,-15.887537002563477,-16.361583709716797,-16.993209838867188,-17.654300689697266,-17.55034637451172,-17.38745880126953,1.2675764082814567e-06,7.073846859384503e-07,2.0867372541033546e-07,4.977341561129833e-08,3.744280974160574e-08,1.8849364735729068e-08,1.2868761167794673e-08,9.929408406605944e-09,4.830847721848386e-09,2.1119979098926933e-09,3.0813636087145824e-09,2.408673038800657e-09,1.5072011416705777e-09,0
-2.9600912966998294e-05,0.06417485326528549,0.5325174927711487,0.15755208333333334,0.06417485326528549,125.98425196850394,954.0832158164396,1250.0,0.21117545664310455,-18.030460357666016,-15.431480407714844,-13.819913864135742,-15.094648361206055,-14.58031940460205,-15.3365478515625,-15.435093879699707,-15.65261173248291,-15.912507057189941,-16.35802459716797,-16.589431762695312,-16.91149139404297,-17.39373207092285,4.267647454980761e-06,1.7081674741348252e-06,2.457279606460361e-07,1.2495955559188587e-07,8.600422063409496e-08,7.047271566307245e-08,3.7819248177584086e-08,5.7536514219691526e-08,1.0910476078151987e-07,1.8314523231310886e-07,8.199189238666804e-08,3.256353409142321e-08,9.460613625833503e-09,0
4.7542871470795944e-06,0.12236980348825455,0.9487594366073608,0.07014198908730158,0.12236980348825455,153.84615384615384,492.32164664603914,625.0,0.008643103763461113,-16.225643157958984,-13.892754554748535,-12.111906051635742,-12.852309226989746,-12.48440933227539,-12.186532974243164,-13.067404747009277,-12.968698501586914,-13.02393913269043,-13.41015911102295,-13.651363372802734,-14.121430397033691,-14.598906517028809,1.6226485968218185e-05,8.900674401957076e-06,4.703501872427296e-07,4.935005648576407e-08,2.524477871190811e-08,1.670599658609717e-08,4.861029356817426e-09,1.1530849608476501e-09,6.092122362133523e-10,9.819041135727957e-10,2.6048616597051932e-09,5.7314677448516704e-09,2.8362832082962086e-09,0
-4.535286734608235e-06,0.07487737387418747,0.5659352540969849,0.11340645032051282,0.07487738132476807,144.14414414414415,540.9957870382323,687.5,0.07519698143005371,-17.0741024017334,-15.209092140197754,-12.847235679626465,-12.925761222839355,-13.264663696289062,-13.714973449707031,-14.20545482635498,-13.890046119689941,-14.577205657958984,-14.526272773742676,-15.148615837097168,-15.554702758789062,-16.453380584716797,6.692143415421015e-06,2.3598663574375678e-06,2.993289456298953e-07,9.690753444147049e-08,5.6604100961976656e-08,2.79659637669738e-08,3.0642173243222715e-08,1.5400765107642655e-08,2.2045369973966444e-08,1.5530671859664835e-08,1.833151053176607e-08,2.166457946373157e-08,4.41212177904049e-09,0
-3.996775831183186e-06,0.0450877845287323,0.2626117765903473,0.12925606343283583,0.0450877845287323,307.6923076923077,1233.8970037354868,2375.0,0.05736176669597626,-19.11251449584961,-17.341236114501953,-16.78809356689453,-15.68493366241455,-15.258284568786621,-16.188180923461914,-16.452781677246094,-16.46076774597168,-16.588579177856445,-16.61099624633789,-15.931761741638184,-15.958674430847168,-16.170297622680664,5.643503868668631e-07,1.5510394177908893e-06,4.1865527578011097e-07,2.919752262187103e-07,2.3838011031784845e-07,2.1839612429630506e-07,1.8666600709593695e-08,8.196444412078563e-09,9.962579650135694e-10,3.282895622014337e-10,2.5355642585545013e-10,2.9004007529032094e-10,7.831606196884167e-11,0
-6.81047240504995e-05,0.08253108710050583,0.6917935609817505,0.06506928943452381,0.08253110945224762,133.33333333333334,456.1531083465615,687.5,0.005294886417686939,-17.375471115112305,-14.15800952911377,-13.079999923706055,-13.690536499023438,-13.938521385192871,-13.993247985839844,-14.190502166748047,-14.249914169311523,-14.34643268585205,-15.063507080078125,-15.731427192687988,-15.879037857055664,-16.29107093811035,9.06590503291227e-06,2.082101218547905e-06,4.1600267763897136e-07,1.8596392692415975e-07,2.823670719465099e-08,1.8411230318093885e-09,3.5397793030078617e-10,1.1863415805279942e-10,1.61247112884233e-10,1.9701591746912328e-10,1.5876780445900351e-10,6.567561078307804e-11,2.253184791523033e-11,0
